benchmark,nanos,unixts.after,unixts.before
dotty,13447764397,1587025319353,1587025305906
dotty,5127208395,1587025324481,1587025319353
dotty,4239760179,1587025328721,1587025324481
dotty,3857374619,1587025332578,1587025328721
dotty,3627800896,1587025336206,1587025332578
dotty,4019355499,1587025340225,1587025336206
dotty,3843726371,1587025344069,1587025340226
dotty,3464954637,1587025347534,1587025344069
dotty,3166632315,1587025350701,1587025347534
dotty,3655643039,1587025354357,1587025350701
dotty,3763781120,1587025358121,1587025354357
dotty,3338040022,1587025361459,1587025358121
dotty,3018284056,1587025364477,1587025361459
dotty,2834175847,1587025367312,1587025364477
dotty,2824604406,1587025370136,1587025367312
dotty,2760683347,1587025372897,1587025370136
dotty,2756387179,1587025375653,1587025372897
dotty,2769927258,1587025378424,1587025375654
dotty,2707807039,1587025381131,1587025378424
dotty,2748967950,1587025383880,1587025381132
dotty,2942297202,1587025386823,1587025383881
dotty,2972945685,1587025389796,1587025386823
dotty,2986429346,1587025392782,1587025389796
dotty,2803800971,1587025395586,1587025392783
dotty,2712911709,1587025398299,1587025395587
dotty,2853652846,1587025401153,1587025398300
dotty,2720545143,1587025403874,1587025401153
dotty,2722501810,1587025406596,1587025403874
dotty,2672796429,1587025409269,1587025406597
dotty,2626235495,1587025411896,1587025409269
dotty,2658017224,1587025414554,1587025411896
dotty,2673138495,1587025417227,1587025414554
dotty,2602516469,1587025419830,1587025417227
dotty,2655204461,1587025422485,1587025419830
dotty,2607658448,1587025425093,1587025422485
dotty,2630793740,1587025427724,1587025425093
dotty,2616895454,1587025430341,1587025427724
dotty,2977915580,1587025433319,1587025430341
dotty,2686710509,1587025436006,1587025433319
dotty,2604819482,1587025438610,1587025436006
dotty,2718054807,1587025441329,1587025438611
dotty,2614292436,1587025443943,1587025441329
dotty,2701826076,1587025446645,1587025443943
dotty,2565115707,1587025449210,1587025446645
dotty,2618676726,1587025451829,1587025449210
dotty,2562788069,1587025454392,1587025451829
dotty,2599151887,1587025456991,1587025454392
dotty,2623696888,1587025459615,1587025456991
dotty,2577358355,1587025462192,1587025459615
dotty,2648020338,1587025464840,1587025462192
gauss-mix,3911007569,1587026267115,1587026263204
gauss-mix,2100119030,1587026269216,1587026267116
gauss-mix,2032986883,1587026271249,1587026269216
gauss-mix,1844000664,1587026273093,1587026271249
gauss-mix,1713481200,1587026274806,1587026273093
gauss-mix,1744829082,1587026276551,1587026274806
gauss-mix,1825585163,1587026278377,1587026276551
gauss-mix,2021934509,1587026280399,1587026278377
gauss-mix,1977822823,1587026282377,1587026280399
gauss-mix,1751762437,1587026284129,1587026282377
gauss-mix,1742546072,1587026285872,1587026284129
gauss-mix,1668406363,1587026287540,1587026285872
gauss-mix,1711471051,1587026289252,1587026287540
gauss-mix,1811816038,1587026291064,1587026289252
gauss-mix,1984996713,1587026293049,1587026291064
gauss-mix,1972581666,1587026295021,1587026293049
gauss-mix,1636695334,1587026296658,1587026295021
gauss-mix,1645030966,1587026298303,1587026296658
gauss-mix,1834992512,1587026300138,1587026298303
gauss-mix,1637735527,1587026301776,1587026300138
gauss-mix,1616842937,1587026303393,1587026301776
gauss-mix,1628495949,1587026305022,1587026303393
gauss-mix,1618415396,1587026306640,1587026305022
gauss-mix,1609051851,1587026308249,1587026306640
gauss-mix,1651430282,1587026309901,1587026308250
gauss-mix,1627978099,1587026311529,1587026309901
gauss-mix,1822790427,1587026313352,1587026311529
gauss-mix,1608150922,1587026314960,1587026313352
gauss-mix,1653602226,1587026316614,1587026314960
gauss-mix,1666531443,1587026318281,1587026316614
gauss-mix,1648234836,1587026319929,1587026318281
gauss-mix,1608834704,1587026321538,1587026319929
gauss-mix,1586968686,1587026323125,1587026321538
gauss-mix,1591089285,1587026324716,1587026323125
gauss-mix,1677585852,1587026326394,1587026324716
gauss-mix,1647017602,1587026328041,1587026326394
gauss-mix,1679914098,1587026329721,1587026328041
gauss-mix,1620142593,1587026331341,1587026329721
gauss-mix,1916133024,1587026333257,1587026331341
gauss-mix,1690746684,1587026334948,1587026333257
akka-uct,18294562196,1587024355672,1587024337377
akka-uct,15074824627,1587024370749,1587024355674
akka-uct,15821299328,1587024386570,1587024370749
akka-uct,14404335443,1587024400975,1587024386571
akka-uct,14629675069,1587024415605,1587024400975
akka-uct,15139156014,1587024430744,1587024415605
akka-uct,14805956350,1587024445551,1587024430745
akka-uct,15418818615,1587024460970,1587024445551
akka-uct,14733977581,1587024475704,1587024460970
akka-uct,14392693893,1587024490097,1587024475704
akka-uct,15362823355,1587024505460,1587024490097
akka-uct,14654933285,1587024520115,1587024505460
akka-uct,14826685683,1587024534942,1587024520116
akka-uct,15158734606,1587024550101,1587024534943
akka-uct,14853755128,1587024564956,1587024550102
akka-uct,15318130581,1587024580274,1587024564956
akka-uct,14513786798,1587024594788,1587024580274
akka-uct,14632890288,1587024609421,1587024594788
akka-uct,15399412226,1587024624821,1587024609421
akka-uct,14646015096,1587024639467,1587024624821
akka-uct,15578334254,1587024655046,1587024639467
akka-uct,14607126219,1587024669653,1587024655046
akka-uct,14727334083,1587024684381,1587024669653
akka-uct,15080841005,1587024699462,1587024684381
page-rank,48107414714,1587027426039,1587027377931
page-rank,7209749228,1587027433249,1587027426039
page-rank,6411707245,1587027439660,1587027433249
page-rank,6473087862,1587027446134,1587027439661
page-rank,8271691258,1587027454405,1587027446134
page-rank,6729205620,1587027461135,1587027454405
page-rank,5885516458,1587027467020,1587027461135
page-rank,6376419957,1587027473397,1587027467020
page-rank,7328984859,1587027480726,1587027473397
page-rank,6882199118,1587027487608,1587027480726
page-rank,5502247100,1587027493111,1587027487608
page-rank,6949077806,1587027500060,1587027493111
page-rank,6569787395,1587027506630,1587027500060
page-rank,7375007301,1587027514005,1587027506630
page-rank,7073817826,1587027521079,1587027514005
page-rank,6179205227,1587027527258,1587027521079
page-rank,7371268472,1587027534629,1587027527258
page-rank,7094105324,1587027541723,1587027534629
page-rank,7510084563,1587027549234,1587027541724
page-rank,6679995482,1587027555914,1587027549234
chi-square,4758852487,1587024901519,1587024896760
chi-square,1465639602,1587024902985,1587024901520
chi-square,1703123828,1587024904689,1587024902985
chi-square,1674164779,1587024906363,1587024904689
chi-square,1678864765,1587024908042,1587024906363
chi-square,1815665790,1587024909858,1587024908042
chi-square,2229239294,1587024912087,1587024909858
chi-square,1673702656,1587024913761,1587024912087
chi-square,1677280312,1587024915438,1587024913761
chi-square,2753119687,1587024918192,1587024915439
chi-square,2743080888,1587024920935,1587024918192
chi-square,1629065646,1587024922564,1587024920935
chi-square,1667321691,1587024924232,1587024922564
chi-square,1645478100,1587024925877,1587024924232
chi-square,1670344328,1587024927548,1587024925877
chi-square,1634524106,1587024929182,1587024927548
chi-square,2741731994,1587024931924,1587024929182
chi-square,2714191371,1587024934639,1587024931924
chi-square,1627202256,1587024936266,1587024934639
chi-square,1644601926,1587024937911,1587024936266
chi-square,1653100538,1587024939564,1587024937911
chi-square,1674999376,1587024941239,1587024939564
chi-square,1651361666,1587024942891,1587024941239
chi-square,1691226813,1587024944582,1587024942891
chi-square,2711929454,1587024947294,1587024944582
chi-square,1667858051,1587024948962,1587024947294
chi-square,1650866426,1587024950613,1587024948962
chi-square,2713857984,1587024953327,1587024950613
chi-square,1653922488,1587024954981,1587024953327
chi-square,1648780963,1587024956630,1587024954981
chi-square,1632409937,1587024958262,1587024956630
chi-square,1696433302,1587024959959,1587024958263
chi-square,1634233251,1587024961593,1587024959959
chi-square,1655619113,1587024963249,1587024961594
chi-square,1640757981,1587024964890,1587024963249
chi-square,1627727005,1587024966518,1587024964890
chi-square,1675850651,1587024968194,1587024966518
chi-square,1637757200,1587024969832,1587024968194
chi-square,2706259222,1587024972538,1587024969832
chi-square,2715614847,1587024975254,1587024972538
chi-square,1641244509,1587024976895,1587024975254
chi-square,1654618271,1587024978550,1587024976895
chi-square,2722186603,1587024981272,1587024978550
chi-square,2723241702,1587024983996,1587024981272
chi-square,1637049067,1587024985633,1587024983996
chi-square,1644030130,1587024987277,1587024985633
chi-square,1624206060,1587024988901,1587024987277
chi-square,1643793585,1587024990545,1587024988901
chi-square,1626511920,1587024992172,1587024990545
chi-square,2710566295,1587024994882,1587024992172
chi-square,1642424139,1587024996525,1587024994883
chi-square,1620432472,1587024998145,1587024996525
chi-square,1650533775,1587024999796,1587024998146
chi-square,1692161925,1587025001488,1587024999796
chi-square,1629378412,1587025003118,1587025001489
chi-square,1647769092,1587025004766,1587025003118
chi-square,1634173683,1587025006400,1587025004766
chi-square,1636141759,1587025008036,1587025006400
chi-square,1644612930,1587025009681,1587025008036
chi-square,1627447268,1587025011309,1587025009681
fj-kmeans,6506006962,1587025960380,1587025953874
fj-kmeans,5735338098,1587025966116,1587025960380
fj-kmeans,5715534925,1587025971831,1587025966116
fj-kmeans,5694479696,1587025977526,1587025971831
fj-kmeans,5682233519,1587025983208,1587025977526
fj-kmeans,5684428334,1587025988893,1587025983208
fj-kmeans,5696702177,1587025994590,1587025988893
fj-kmeans,5685381694,1587026000275,1587025994590
fj-kmeans,5683670373,1587026005959,1587026000275
fj-kmeans,5662022481,1587026011621,1587026005959
fj-kmeans,5687988765,1587026017309,1587026011621
fj-kmeans,5678094081,1587026022987,1587026017309
fj-kmeans,5680955728,1587026028669,1587026022988
fj-kmeans,5671788046,1587026034341,1587026028669
fj-kmeans,5635921540,1587026039977,1587026034341
fj-kmeans,5690488401,1587026045667,1587026039977
fj-kmeans,5690184122,1587026051358,1587026045667
fj-kmeans,5678303040,1587026057036,1587026051358
fj-kmeans,5703460088,1587026062740,1587026057036
fj-kmeans,5683315603,1587026068423,1587026062740
fj-kmeans,5684971814,1587026074108,1587026068424
fj-kmeans,5712960480,1587026079822,1587026074109
fj-kmeans,5674380116,1587026085496,1587026079822
fj-kmeans,5669264197,1587026091165,1587026085496
fj-kmeans,5732686786,1587026096898,1587026091166
fj-kmeans,5729426632,1587026102628,1587026096898
fj-kmeans,5676145191,1587026108304,1587026102628
fj-kmeans,5643890543,1587026113948,1587026108304
fj-kmeans,5656770493,1587026119605,1587026113948
fj-kmeans,5670410456,1587026125276,1587026119605
log-regression,8665747512,1587026346500,1587026337834
log-regression,4474610053,1587026350975,1587026346500
log-regression,4149499199,1587026355124,1587026350975
log-regression,4087278665,1587026359212,1587026355124
log-regression,3963837751,1587026363176,1587026359212
log-regression,4560229431,1587026367736,1587026363176
log-regression,4486474068,1587026372223,1587026367736
log-regression,4472288421,1587026376695,1587026372223
log-regression,4867596553,1587026381563,1587026376695
log-regression,4582869684,1587026386146,1587026381563
log-regression,5042680646,1587026391188,1587026386146
log-regression,4826816759,1587026396015,1587026391189
log-regression,5113536305,1587026401129,1587026396015
log-regression,3864086175,1587026404993,1587026401129
log-regression,3967353364,1587026408961,1587026404993
log-regression,4004897320,1587026412966,1587026408961
log-regression,3847754039,1587026416814,1587026412966
log-regression,3913533564,1587026420727,1587026416814
log-regression,3963396501,1587026424691,1587026420727
log-regression,3876011845,1587026428567,1587026424691
movie-lens,19075730735,1587026585227,1587026566151
movie-lens,14505654837,1587026599733,1587026585227
movie-lens,14605149264,1587026614338,1587026599733
movie-lens,14281993510,1587026628620,1587026614338
movie-lens,14307185259,1587026642927,1587026628620
movie-lens,14249366788,1587026657177,1587026642927
movie-lens,14388705795,1587026671565,1587026657177
movie-lens,14231476520,1587026685797,1587026671566
movie-lens,14234399110,1587026700031,1587026685797
movie-lens,13673964499,1587026713706,1587026700032
movie-lens,14185058324,1587026727891,1587026713706
movie-lens,14507130142,1587026742398,1587026727891
movie-lens,14007316202,1587026756405,1587026742398
movie-lens,14068981205,1587026770474,1587026756405
movie-lens,14285693003,1587026784760,1587026770474
movie-lens,14146930009,1587026798907,1587026784760
movie-lens,14233840884,1587026813141,1587026798907
movie-lens,13842027824,1587026826983,1587026813141
movie-lens,14164853463,1587026841148,1587026826983
movie-lens,14011634210,1587026855160,1587026841148
neo4j-analytics,15865524126,1587027217588,1587027201722
neo4j-analytics,8126369123,1587027225714,1587027217588
neo4j-analytics,8229287204,1587027233944,1587027225714
neo4j-analytics,8307633721,1587027242251,1587027233944
neo4j-analytics,8398539234,1587027250650,1587027242251
neo4j-analytics,8565533054,1587027259216,1587027250650
neo4j-analytics,7740898931,1587027266957,1587027259216
neo4j-analytics,8630773366,1587027275588,1587027266957
neo4j-analytics,7728795238,1587027283316,1587027275588
neo4j-analytics,7937521296,1587027291254,1587027283317
neo4j-analytics,7890928877,1587027299145,1587027291254
neo4j-analytics,7377797298,1587027306523,1587027299145
neo4j-analytics,7742036933,1587027314265,1587027306523
neo4j-analytics,9564191116,1587027323830,1587027314265
neo4j-analytics,8847506159,1587027332677,1587027323830
neo4j-analytics,8205499284,1587027340883,1587027332677
neo4j-analytics,7399954880,1587027348283,1587027340883
neo4j-analytics,7420247769,1587027355703,1587027348283
neo4j-analytics,7371544556,1587027363075,1587027355703
neo4j-analytics,7746280150,1587027370821,1587027363075
finagle-http,9954962350,1587025906753,1587025896795
finagle-http,4481014497,1587025911237,1587025906753
finagle-http,4193265810,1587025915444,1587025911237
finagle-http,4183802358,1587025919630,1587025915444
finagle-http,4521370635,1587025924164,1587025919631
finagle-http,4237781186,1587025928405,1587025924164
finagle-http,4247351131,1587025932656,1587025928405
finagle-http,4037261072,1587025936697,1587025932656
finagle-http,4121103268,1587025940820,1587025936697
finagle-http,4289844221,1587025945111,1587025940820
finagle-http,4195711507,1587025949309,1587025945112
finagle-http,4188469994,1587025953499,1587025949309
